gender,d1,p1,app_name,mime_type,n1,cc
Female,1,5,Treeflex,video/msvideo,19.0,IL
Female,0,3,Y-find,image/x-tiff,17.1,FR
Female,1,2,Stim,application/pdf,12.0,FR
Female,1,2,Solarbreeze,video/avi,3.2,US
Female,0,1,Zoolab,audio/x-mpeg-3,6.1,FR
Female,1,3,Bigtax,video/mpeg,4.8,FR
Male,1,3,Y-Solowarm,application/x-mspowerpoint,18.6,FR
Female,0,6,Flowdesk,image/jpeg,1.9,US
Female,0,0,Ventosanzap,image/jpeg,9.3,US
Male,1,1,Opela,video/mpeg,4.9,FR
Female,1,4,Konklab,video/x-mpeg,16.7,FR
Female,1,3,Voyatouch,application/vnd.ms-excel,3.8,US
Male,1,5,Zathin,video/mpeg,4.5,FR
Female,0,1,Fix San,application/x-mspowerpoint,19.4,FR
Female,0,2,Sub-Ex,application/excel,11.0,FR
Female,0,0,Redhold,application/mspowerpoint,16.9,GB
Male,0,2,Lotstring,application/excel,24.3,FR
Male,1,3,Fintone,audio/x-mpeg-3,9.0,FR
Male,1,2,Tres-Zap,video/avi,7.5,DE
Male,0,4,Fixflex,application/mspowerpoint,16.1,FR
Female,1,2,Veribet,image/png,3.5,FR
Male,1,2,Span,image/jpeg,5.2,FR
Female,0,3,Zaam-Dox,application/pdf,5.2,FR
Female,1,4,Overhold,audio/x-mpeg-3,12.8,US
Male,1,2,Tresom,image/png,1.5,DE
